[2026-06-17 15:26:20] PROTO: TCP | SRC: 185.220.101.4:3389 -> DST: 192.168.1.1:443 | LEN: 1222 | FLAGS: A
[2026-06-17 15:26:21] PROTO: TCP | SRC: 8.8.8.8:23 -> DST: 10.0.0.254:12345 | LEN: 467 | FLAGS: A
[2026-06-17 15:26:21] PROTO: TCP | SRC: 10.0.0.4:3389 -> DST: 10.0.0.254:8080 | LEN: 551 | FLAGS: A
[2026-06-17 15:26:22] PROTO: ICMP | SRC: 10.0.0.4:None -> DST: 10.0.0.1:None | LEN: 130 | FLAGS: 
[2026-06-17 15:26:22] PROTO: TCP | SRC: 172.16.5.25:12345 -> DST: 10.0.0.1:23 | LEN: 1352 | FLAGS: A
[2026-06-17 15:26:23] PROTO: DNS | SRC: 172.16.5.25:32566 -> DST: 10.0.0.254:53 | LEN: 1067 | FLAGS: 
[2026-06-17 15:26:23] PROTO: DNS | SRC: 185.220.101.4:46913 -> DST: 192.168.1.100:53 | LEN: 202 | FLAGS: 
[2026-06-17 15:26:23] PROTO: TCP | SRC: 192.168.1.10:12345 -> DST: 8.8.4.4:53 | LEN: 254 | FLAGS: A
[2026-06-17 15:26:24] PROTO: ARP | SRC: 10.0.0.12:None -> DST: 10.0.0.1:None | LEN: 64 | FLAGS: 
[2026-06-17 15:26:24] PROTO: ARP | SRC: 8.8.8.8:None -> DST: 8.8.4.4:None | LEN: 79 | FLAGS: 
[2026-06-17 15:26:24] PROTO: DNS | SRC: 192.168.1.15:33069 -> DST: 10.0.0.254:53 | LEN: 939 | FLAGS: 
[2026-06-17 15:26:24] PROTO: UDP | SRC: 10.0.0.4:23 -> DST: 8.8.4.4:443 | LEN: 673 | FLAGS: 
[2026-06-17 15:26:24] PROTO: ICMP | SRC: 8.8.8.8:None -> DST: 10.0.0.1:None | LEN: 46 | FLAGS: 
[2026-06-17 15:26:25] PROTO: DNS | SRC: 10.0.0.4:60598 -> DST: 10.0.0.1:53 | LEN: 585 | FLAGS: 
[2026-06-17 15:26:25] PROTO: TCP | SRC: 10.0.0.12:23 -> DST: 8.8.4.4:21 | LEN: 637 | FLAGS: S
[2026-06-17 15:26:26] PROTO: DNS | SRC: 172.16.5.25:42688 -> DST: 192.168.1.1:53 | LEN: 840 | FLAGS: 
[2026-06-17 15:26:26] PROTO: TCP | SRC: 185.220.101.4:80 -> DST: 192.168.1.1:445 | LEN: 1305 | FLAGS: A
[2026-06-17 15:26:26] PROTO: ICMP | SRC: 172.16.5.25:None -> DST: 10.0.0.254:None | LEN: 890 | FLAGS: 
[2026-06-17 15:26:26] PROTO: ICMP | SRC: 8.8.8.8:None -> DST: 192.168.1.100:None | LEN: 1223 | FLAGS: 
[2026-06-17 15:26:27] PROTO: ICMP | SRC: 10.0.0.4:None -> DST: 192.168.1.100:None | LEN: 903 | FLAGS: 
[2026-06-17 15:26:27] PROTO: DNS | SRC: 10.0.0.4:16327 -> DST: 192.168.1.100:53 | LEN: 116 | FLAGS: 
[2026-06-17 15:26:28] PROTO: ARP | SRC: 192.168.1.10:None -> DST: 192.168.1.100:None | LEN: 1493 | FLAGS: 
[2026-06-17 15:26:28] PROTO: ARP | SRC: 10.0.0.4:None -> DST: 192.168.1.1:None | LEN: 1364 | FLAGS: 
[2026-06-17 15:26:29] PROTO: UDP | SRC: 172.16.5.25:3389 -> DST: 10.0.0.254:12345 | LEN: 888 | FLAGS: 
[2026-06-17 15:26:29] PROTO: DNS | SRC: 192.168.1.10:26559 -> DST: 8.8.4.4:53 | LEN: 645 | FLAGS: 
[2026-06-17 15:26:30] PROTO: TCP | SRC: 8.8.8.8:443 -> DST: 8.8.4.4:21 | LEN: 862 | FLAGS: A
[2026-06-17 15:26:30] PROTO: UDP | SRC: 185.220.101.4:443 -> DST: 192.168.1.1:12345 | LEN: 748 | FLAGS: 
[2026-06-17 15:26:31] PROTO: ICMP | SRC: 8.8.8.8:None -> DST: 8.8.4.4:None | LEN: 978 | FLAGS: 
[2026-06-17 15:26:31] PROTO: TCP | SRC: 192.168.1.10:22 -> DST: 10.0.0.1:23 | LEN: 66 | FLAGS: A
[2026-06-17 15:26:31] PROTO: TCP | SRC: 192.168.1.10:22 -> DST: 8.8.4.4:21 | LEN: 350 | FLAGS: S
[2026-06-17 15:26:32] PROTO: UDP | SRC: 10.0.0.12:8080 -> DST: 8.8.4.4:445 | LEN: 1484 | FLAGS: 
[2026-06-17 15:26:32] PROTO: DNS | SRC: 185.220.101.4:24950 -> DST: 8.8.4.4:53 | LEN: 322 | FLAGS: 
[2026-06-17 15:26:32] PROTO: UDP | SRC: 10.0.0.12:23 -> DST: 192.168.1.1:443 | LEN: 1475 | FLAGS: 
[2026-06-17 15:26:33] PROTO: ARP | SRC: 192.168.1.15:None -> DST: 192.168.1.100:None | LEN: 919 | FLAGS: 
[2026-06-17 15:26:33] PROTO: TCP | SRC: 192.168.1.10:80 -> DST: 8.8.4.4:445 | LEN: 1263 | FLAGS: A
[2026-06-17 15:26:33] PROTO: ARP | SRC: 172.16.5.25:None -> DST: 192.168.1.100:None | LEN: 745 | FLAGS: 
[2026-06-17 15:26:34] PROTO: DNS | SRC: 8.8.8.8:52812 -> DST: 192.168.1.1:53 | LEN: 77 | FLAGS: 
[2026-06-17 15:26:34] PROTO: DNS | SRC: 10.0.0.12:21072 -> DST: 192.168.1.100:53 | LEN: 415 | FLAGS: 
[2026-06-17 15:26:34] PROTO: TCP | SRC: 10.0.0.12:22 -> DST: 192.168.1.100:445 | LEN: 1439 | FLAGS: A
[2026-06-17 15:26:35] PROTO: UDP | SRC: 185.220.101.4:80 -> DST: 10.0.0.254:53 | LEN: 1016 | FLAGS: 
[2026-06-17 15:26:35] PROTO: UDP | SRC: 10.0.0.12:21 -> DST: 10.0.0.254:3389 | LEN: 1112 | FLAGS: 
[2026-06-17 15:26:36] PROTO: UDP | SRC: 10.0.0.4:445 -> DST: 192.168.1.1:80 | LEN: 203 | FLAGS: 
[2026-06-17 15:26:36] PROTO: ICMP | SRC: 8.8.8.8:None -> DST: 192.168.1.100:None | LEN: 518 | FLAGS: 
[2026-06-17 15:26:37] PROTO: UDP | SRC: 10.0.0.4:445 -> DST: 10.0.0.254:80 | LEN: 836 | FLAGS: 
[2026-06-17 15:26:37] PROTO: TCP | SRC: 192.168.1.10:12345 -> DST: 192.168.1.100:23 | LEN: 84 | FLAGS: A
[2026-06-17 15:26:37] PROTO: ICMP | SRC: 192.168.1.10:None -> DST: 8.8.4.4:None | LEN: 128 | FLAGS: 
